rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,late,runs,holes
4059,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-11-00 UIC1805-02-00,ECO1101-06-00 QRM2001-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+1+2+3
4060,10.208,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-02-00,ECO1101-06-00 QRM2001-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4061,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-03-00 UIC2151-14-00 UIC1806-01-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,금,1,0,3,6,1+3+2+1
4062,10.208,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+1+2+3
4063,10.208,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-11-00 UIC1805-02-00,ECO1101-06-00 QRM2001-01-00,ECO1101 ME,18.0,금,1,0,3,6,1+1+2+3
4064,10.2,MR,YCA1006-02-00,UIC1561-01-00 UIC1401-03-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 QRM2002-01-00,ECO1101 ME,18.0,월,1,0,3,4,2+1+2+1
4065,10.2,MR,YCA1006-02-00,UIC1561-01-00 UIC1401-03-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 QRM2002-01-00,ECO1101 ME,18.0,월,1,0,3,4,2+1+2+1
4066,10.2,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1401-03-00 UIC2151-10-00,ECO1101-06-00 QRM2002-01-00,ECO1101 ME,18.0,,1,0,2,4,2+1+2+1
4067,10.2,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1401-03-00 UIC2151-04-00,ECO1101-06-00 QRM2002-01-00,ECO1101 ME,18.0,,1,0,2,4,2+1+2+1
4068,10.2,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC1751-01-00 UIC1805-02-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,월,0,0,3,4,2+3+2+1
4069,10.2,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC1751-01-00 UIC1805-02-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,월,0,0,3,4,2+3+2+1
4070,10.194,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,STA2102-05-00 CDM2012-01-00,ME FREE,18.0,월금,1,0,1,4,1+1+2
4071,10.194,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-12-00 UIC1806-02-00,STA2102-05-00 CDM2012-01-00,ME FREE,18.0,월금,1,0,1,4,1+1+2
4072,10.194,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-12-00 UIC1806-02-00,STA2102-05-00 CDM2012-01-00,ME FREE,18.0,월금,1,0,1,4,1+1+2
4073,10.194,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,STA2102-05-00 CDM2012-01-00,ME FREE,18.0,월금,1,0,1,4,1+1+2
4074,10.19,WCiv,-,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,1,1,4+5,2+2+1
4075,10.19,MR,-,UIC1561-01-00 UIC1501-05-00 UIC2151-14-00 UIC1805-02-00,STA2102-05-00 QRM2001-01-00,ME ME,18.0,월금,2,0,1,4+5+4,1
4076,10.19,WCiv,-,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,1,1,4+5,2+2+1
4077,10.19,MR,-,UIC1561-01-00 UIC1501-05-00 UIC2151-14-00 UIC1805-02-00,STA2102-05-00 QRM2001-01-00,ME ME,18.0,월금,2,0,1,4+5+4,1
4078,10.19,WCiv,-,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,1,1,4+5,2+2+1
4079,10.19,WCiv,-,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,1,1,4+5,2+2+1
4080,10.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-02-00,STA2102-05-00 QRM2001-01-00,ME ME,18.0,월금,1,2,1,4+7+5,1
4081,10.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-02-00,STA2102-05-00 QRM2001-01-00,ME ME,18.0,월금,1,2,1,4+7+5,1
4082,10.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1401-02-00 UIC2151-14-00 UIC1806-02-00,STA2102-05-00 QRM2001-01-00,ME ME,18.0,월금,1,2,1,4+7+5,1
4083,10.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1401-02-00 UIC2151-14-00 UIC1806-02-00,STA2102-05-00 QRM2001-01-00,ME ME,18.0,월금,1,2,1,4+7+5,1
4084,10.182,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,STA2102-05-00 CTM1002-02-00,ME FREE,18.0,월금,1,1,1,4+4+4,1+2
4085,10.175,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-03-00 UIC2151-14-00,QRM2004-01-00 YCK1998-03-00,ME FREE,18.0,금,0,0,1,6,2+1+2
4086,10.175,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1501-02-00 UIC2151-14-00,QRM2004-01-00 YCK1998-03-00,ME FREE,18.0,금,0,0,1,6,2+1+2
4087,10.167,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1401-03-00 UIC2151-14-00,STA2102-05-00 YCH1605-01-00,ME FREE,18.0,월,0,0,1,4,2
4088,10.165,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 YCK1998-03-00,ECO1101 FREE,18.0,월금,1,0,2,4,2+3+1
4089,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA1002-04-00,ECO1101 FREE,18.0,월금,0,0,3,4+4,2+1+1+2+2
4090,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 BIZ1101-09-00,ECO1101 FREE,18.0,월금,1,0,2,4,1+1+2
4091,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA1002-04-00,ECO1101 FREE,18.0,월금,0,0,3,4+4,2+1+1+2+2
4092,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA1002-04-00,ECO1101 FREE,18.0,월금,0,0,3,4+4,2+1+2+2+1
4093,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 BIZ1101-09-00,ECO1101 FREE,18.0,월금,1,0,2,4,1+1+2
4094,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA1002-04-00,ECO1101 FREE,18.0,월금,0,0,3,4+4,2+1+2+2+1
4095,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 BIZ1101-09-00,ECO1101 FREE,18.0,월금,1,0,2,4,1+1+2
4096,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,ECO1101-06-00 STA1002-04-00,ECO1101 FREE,18.0,월금,0,0,3,4+4,2+1+1+2+2
4097,10.165,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA1002-04-00,ECO1101 FREE,18.0,월금,0,0,3,4+4,2+1+2+2+1
4098,10.165,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 YCK1998-03-00,ECO1101 FREE,18.0,월금,1,0,2,4,2+3+1
4099,10.165,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 ASP2022-01-00 UIC2151-12-00,ECO1101-06-00 BIZ1101-09-00,ECO1101 FREE,18.0,월금,1,0,2,4+4,3+1+2
