rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,dinner_fail,late,runs,holes
1852,134.548,-,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-01-00,STA2102-05-00,ME,18.0,월금,2,1,0,1,6,1+4+2
1853,134.503,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-04-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,금,0,0,0,1,4,2+1+1+1
1854,134.503,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-10-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,금,0,0,0,1,4,2+1+1+1
1855,134.491,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-11-00 UIC1805-01-00,QRM2004-01-00 ECO1101-05-00,ME ECO1101,18.0,금,1,1,0,1,6,1+1+1
1856,134.491,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-01-00,QRM2004-01-00 ECO1101-05-00,ME ECO1101,18.0,금,1,1,0,1,6,1+1+1
1857,134.491,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-11-00 UIC1805-01-00,QRM2004-01-00 ECO1101-05-00,ME ECO1101,18.0,금,1,1,0,1,6,1+1+1
1858,134.491,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-11-00 UIC1806-01-00,QRM2004-01-00 ECO1101-05-00,ME ECO1101,18.0,금,1,1,0,1,6,1+1+1
1859,134.485,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1603-04-00,STA2102-05-00 YCG1853-01-00,ME FREE,18.0,월금,0,0,0,2,6,4
1860,134.485,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1603-04-00,STA2102-05-00 YCG1804-01-00,ME FREE,18.0,월금,0,0,0,2,6,4
1861,134.485,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1603-04-00,STA2102-05-00 YCK1998-03-00,ME FREE,18.0,월금,0,0,0,2,6,4
1862,134.485,Lang,-,QRM1001-01-00 UIC1561-01-00 ASP2033-01-00 UIC2151-14-00,STA2102-05-00 UCB1105-02-00,ME FREE,18.0,월금,0,0,0,1,4,2
1863,134.474,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1751-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월,0,1,0,1,5,2+1
1864,134.465,SciRD,-,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1301-07-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,4,1+1+1
1865,134.465,SciRD,-,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 YCF1301-07-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,2,0,0,1,4,1+1+1
